Five-Year Age Groups Code	Race Code	Hispanic Origin Code	State Code	Gender Code	Deaths	Population
<1	A-PI	2186-2	36	F	18	9534
<1	A-PI	2186-2	36	M	40	10054
<1	2054-5	2186-2	36	F	138	21055
<1	2054-5	2186-2	36	M	176	21875
<1	2106-3	2186-2	36	F	201	54379
<1	2106-3	2186-2	36	M	231	56824
<1	2054-5	NS	36	F	17	Not Applicable
<1	2054-5	NS	36	M	19	Not Applicable
<1	2106-3	NS	36	F	13	Not Applicable
<1	2106-3	NS	36	M	23	Not Applicable
<1	2106-3	2135-2	37	F	40	8222
<1	2106-3	2135-2	37	M	44	8564
<1	A-PI	2186-2	37	F	12	1841
<1	A-PI	2186-2	37	M	12	1928
<1	2054-5	2186-2	37	F	162	14978
<1	2054-5	2186-2	37	M	196	15749
<1	2106-3	2186-2	37	F	169	31250
<1	2106-3	2186-2	37	M	222	32721
<1	2106-3	2186-2	38	F	22	4391
<1	2106-3	2186-2	38	M	34	4622
<1	2106-3	2135-2	39	F	14	3276
<1	2106-3	2135-2	39	M	21	3310
<1	2054-5	2186-2	39	F	164	11782
<1	2054-5	2186-2	39	M	195	12266
<1	2106-3	2186-2	39	F	250	50129
<1	2106-3	2186-2	39	M	340	52813
<1	2106-3	2135-2	40	F	21	3361
<1	2106-3	2135-2	40	M	25	3511
<1	1002-5	2186-2	40	F	21	2904
<1	1002-5	2186-2	40	M	32	3037
<1	A-PI	2186-2	40	M	10	679
<1	2054-5	2186-2	40	F	24	3211
<1	2054-5	2186-2	40	M	43	3314
<1	2106-3	2186-2	40	F	79	15313
<1	2106-3	2186-2	40	M	109	16130
<1	2106-3	2135-2	41	F	17	4271
<1	2106-3	2135-2	41	M	23	4484
<1	2054-5	2186-2	41	M	16	858
<1	2106-3	2186-2	41	F	63	15217
<1	2106-3	2186-2	41	M	89	15905
<1	2106-3	2135-2	42	F	41	6526
<1	2106-3	2135-2	42	M	40	6904
<1	A-PI	2186-2	42	M	16	2789
<1	2054-5	2186-2	42	F	130	9789
<1	2054-5	2186-2	42	M	125	10330
<1	2106-3	2186-2	42	F	208	47917
<1	2106-3	2186-2	42	M	259	50318
<1	2106-3	NS	42	M	13	Not Applicable
<1	2106-3	2186-2	44	F	16	3190
<1	2106-3	2186-2	44	M	15	3436
<1	2106-3	2135-2	45	F	10	2113
<1	2106-3	2135-2	45	M	11	2226
<1	2054-5	2186-2	45	F	86	9478
<1	2054-5	2186-2	45	M	125	9856
<1	2106-3	2186-2	45	F	69	15591
<1	2106-3	2186-2	45	M	95	16450
<1	1002-5	2186-2	46	F	13	828
